underlying,ts_signal,spot_symbol,expiry,dte,regime,side,is_live,right,tradingsymbol,kite_symbol,strike,score,entry,sl,target,time_stop_min,spread_pct,bid,ask,mid,ltp,quote_ts,entry_model,iv,iv_pct,iv_samples,greeks_conf,delta,vega_1pct,theta_day,lot_size,greeks_max_lots,risk_lots,max_lots,pass_caps,sent_mult,mkt_bias,mkt_strength,mkt_risk_off,notes,reason,bos,bos_strength,htf_align,session
ALKEM,2026-02-16 15:15:00+05:30,NSE:ALKEM,2026-02-24,8,TREND,SHORT,True,PE,ALKEM26FEB5500PE,NFO:ALKEM26FEB5500PE,5500,-1.5840931621050987,129.35,114.06305333724507,152.2804199941324,90,0.0274294670846395,125.85,129.35,127.6,127.6,2026-02-16 16:22:41,ask,0.37556979161596304,0.4,5,high,-0.5050876188092193,3.2274649639103865,-7.142956583797535,125,0,0,0,False,1.0,,,,adx=25.5 | ivp=0.40 | dte=8 | spr=0.027,LIVE signal,NONE,0.0,True,CLOSE
ANGELONE,2026-02-16 15:15:00+05:30,NSE:ANGELONE,2026-02-24,8,TREND,SHORT,True,PE,ANGELONE26FEB2550PE,NFO:ANGELONE26FEB2550PE,2550,-1.9086983061025489,57.85,47.73560071974668,73.02159892037999,90,0.013925152306353425,57.05,57.85,57.45,57.45,2026-02-16 16:22:37,ask,0.4626891150887013,0.6,5,high,-0.4271578223237571,1.489911507192999,-4.142974517572148,250,0,0,0,False,1.0,,,,adx=42.1 | ivp=0.60 | dte=8 | spr=0.014,LIVE signal,NONE,0.0,True,CLOSE
ASTRAL,2026-02-16 15:15:00+05:30,NSE:ASTRAL,2026-02-24,8,TREND,LONG,True,CE,ASTRAL26FEB1640CE,NFO:ASTRAL26FEB1640CE,1640,2.0305005453245757,16.2,11.89315839383629,22.660262409245625,90,0.02499999999999991,15.8,16.2,16.0,16.0,2026-02-16 16:22:45,ask,0.15550233456134793,0.2,5,high,0.5251670951699523,0.9638267505472912,-1.081008749774357,425,0,0,0,False,1.0,,,,adx=40.6 | ivp=0.20 | dte=8 | spr=0.025,LIVE signal,NONE,0.0,True,CLOSE
