action,align_mode,ask,bid,bos,bos_strength,breakevens,delta,dte,dtf_dir,entry,entry_model,expiry,greeks_conf,greeks_max_lots,htf_align,htf_dir,is_live,iv,iv_pct,iv_samples,kite_symbol,legs_json,lot_size,ltf_dir,ltp,margin_est,max_loss,max_lots,max_profit,mid,mkt_bias,mkt_risk_off,mkt_strength,net_premium,notes,pass_caps,quote_ts,reason,regime,regime_conf,right,risk_lots,score,sent_mult,session,side,signal_strength,sl,spot_symbol,spread_pct,strategy_type,strike,target,theta_day,time_stop_min,tradingsymbol,ts_signal,underlying,vega_1pct
BUY_PE,hard,56.85,55.35,NONE,0.0,,-0.8919895112610855,0,,56.85,ask,2026-02-24,high,0,True,DOWN,False,1.9872671430740358,0.5,2,NFO:ADANIGREEN26FEB1020PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1020,""tradingsymbol"":""ADANIGREEN26FEB1020PE"",""instrument_token"":15104514,""bid"":55.35,""ask"":56.85,""mid"":56.1,""ltp"":56.1,""oi"":53400.0,""volume"":60600.0,""spread_pct"":0.026737967914438502,""price_used"":56.85,""tag"":""long"",""iv"":1.9872671430740358,""delta"":-0.8919895112610855,""gamma"":0.0044482316882516835,""vega_1pct"":0.03896199408311818,""theta_day"":-22.305077993882247,""greeks_conf"":""high""}]",600,DOWN,56.1,34110.0,56.85,0,,56.1,BEARISH,True,0.6875,56.85,adx=16.5 | ivp=0.50 | dte=0 | spr=0.027 | fallback single-leg,False,,Trend DOWN but ADX<18. Trigger SHORT when ADX>=18 AND RSI<=48.,TREND,0.829445165073893,PE,0,-0.9826075762065555,1.136625,MID,SHORT,0.9826075762065555,28.425,NSE:ADANIGREEN,0.026737967914438502,BUY_PE,1020,102.33,-22.305077993882247,90,ADANIGREEN26FEB1020PE,None,ADANIGREEN,0.03896199408311818
BUY_CE,hard,8.2,7.8,NONE,0.0,,0.8101242341918662,0,,8.2,ask,2026-02-24,high,0,True,UP,False,0.2431879020462036,1.0,2,NFO:ADANIPORTS26FEB1540CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":1540,""tradingsymbol"":""ADANIPORTS26FEB1540CE"",""instrument_token"":15358722,""bid"":7.8,""ask"":8.2,""mid"":8.0,""ltp"":8.0,""oi"":146775.0,""volume"":480225.0,""spread_pct"":0.04999999999999993,""quote_ts"":""2026-02-24T11:21:45"",""price_used"":8.2,""tag"":""long"",""iv"":0.2431879020462036,""delta"":0.8101242341918662,""gamma"":0.033175442443082806,""vega_1pct"":0.09120121007007716,""theta_day"":-6.637729005573502,""greeks_conf"":""high""}]",475,UP,8.0,3894.9999999999995,8.2,0,,8.0,BEARISH,True,0.6875,8.2,adx=17.7 | ivp=1.00 | dte=0 | spr=0.050 | watch-mode single-leg,False,2026-02-24T11:21:45,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,VOLATILE,1.0,CE,0,0.665469551905233,0.8195,MID,LONG,0.665469551905233,4.1,NSE:ADANIPORTS,0.04999999999999993,BUY_CE,1540,14.76,-6.637729005573502,90,ADANIPORTS26FEB1540CE,None,ADANIPORTS,0.09120121007007716
BUY_PE,hard,37.05,36.6,NONE,0.0,,-0.9042575882387287,0,,37.05,ask,2026-02-24,high,0,True,DOWN,False,2.3188024161224368,0.5,2,NFO:AMBUJACEM26FEB550PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":550,""tradingsymbol"":""AMBUJACEM26FEB550PE"",""instrument_token"":18565122,""bid"":36.6,""ask"":37.05,""mid"":36.825,""ltp"":36.825,""oi"":393750.0,""volume"":196350.0,""spread_pct"":0.012219959266802327,""price_used"":37.05,""tag"":""long"",""iv"":2.3188024161224368,""delta"":-0.9042575882387287,""gamma"":0.006559921165724731,""vega_1pct"":0.01899693228859485,""theta_day"":-12.697658593696218,""greeks_conf"":""high""}]",1050,DOWN,36.825,38902.5,37.05,0,,36.825,BEARISH,True,0.6875,37.05,adx=15.6 | ivp=0.50 | dte=0 | spr=0.012 | fallback single-leg,False,,Trend DOWN but ADX<18. Trigger SHORT when ADX>=18 AND RSI<=48.,TREND,0.944898854329014,PE,0,-0.9666010234362146,1.136625,MID,SHORT,0.9666010234362146,18.525,NSE:AMBUJACEM,0.012219959266802327,BUY_PE,550,66.69,-12.697658593696218,90,AMBUJACEM26FEB550PE,None,AMBUJACEM,0.01899693228859485
BUY_PE,hard,22.35,21.05,NONE,0.0,,-0.648507273248278,0,,22.35,ask,2026-02-24,high,0,True,DOWN,False,0.6432065140590668,1.0,2,NFO:ANGELONE26FEB2500PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":2500,""tradingsymbol"":""ANGELONE26FEB2500PE"",""instrument_token"":18608642,""bid"":21.05,""ask"":22.35,""mid"":21.700000000000003,""ltp"":21.700000000000003,""oi"":105250.0,""volume"":204500.0,""spread_pct"":0.059907834101382514,""quote_ts"":""2026-02-24T11:21:50"",""price_used"":22.35,""tag"":""long"",""iv"":0.6432065140590668,""delta"":-0.648507273248278,""gamma"":0.010675643442213747,""vega_1pct"":0.2004175919813895,""theta_day"":-37.13502957164408,""greeks_conf"":""high""}]",250,DOWN,21.700000000000003,5587.5,22.35,0,,21.700000000000003,BEARISH,True,0.6875,22.35,adx=15.4 | ivp=1.00 | dte=0 | spr=0.060 | watch-mode single-leg,False,2026-02-24T11:21:50,Trend DOWN but ADX<18. Trigger SHORT when ADX>=18 AND RSI<=48.,VOLATILE,1.0,PE,0,-0.8861925369176997,1.136625,MID,SHORT,0.8861925369176997,11.175,NSE:ANGELONE,0.059907834101382514,BUY_PE,2500,40.230000000000004,-37.13502957164408,90,ANGELONE26FEB2500PE,None,ANGELONE,0.2004175919813895
BUY_PE,hard,23.25,21.8,NONE,0.0,,-0.6910189072344045,0,,23.25,ask,2026-02-24,high,0,True,DOWN,False,0.6677445493125915,0.5,2,NFO:APLAPOLLO26FEB2220PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":2220,""tradingsymbol"":""APLAPOLLO26FEB2220PE"",""instrument_token"":16849922,""bid"":21.8,""ask"":23.25,""mid"":22.525,""ltp"":22.525,""oi"":33250.0,""volume"":18900.0,""spread_pct"":0.06437291897891229,""price_used"":23.25,""tag"":""long"",""iv"":0.6677445493125915,""delta"":-0.6910189072344045,""gamma"":0.011018650298197622,""vega_1pct"":0.16867629381265964,""theta_day"":-32.4296720427576,""greeks_conf"":""high""}]",350,DOWN,22.525,8137.5,23.25,0,,22.525,BEARISH,True,0.6875,23.25,adx=14.1 | ivp=0.50 | dte=0 | spr=0.064 | fallback single-leg,False,,Trend DOWN but ADX<18. Trigger SHORT when ADX>=18 AND RSI<=48.,TREND,0.75747005417566,PE,0,-0.940485192256535,1.136625,MID,SHORT,0.940485192256535,11.625,NSE:APLAPOLLO,0.06437291897891229,BUY_PE,2220,41.85,-32.4296720427576,90,APLAPOLLO26FEB2220PE,None,APLAPOLLO,0.16867629381265964
BUY_CE,hard,91.1,88.0,NONE,0.0,,0.8981601354462039,0,,91.1,ask,2026-02-24,low,0,True,UP,True,0.5,0.5,2,NFO:APOLLOHOSP26FEB7600CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":7600,""tradingsymbol"":""APOLLOHOSP26FEB7600CE"",""instrument_token"":18855938,""bid"":88.0,""ask"":91.1,""mid"":89.55,""ltp"":89.55,""oi"":80250.0,""volume"":43625.0,""spread_pct"":0.03461753210496923,""price_used"":91.1,""tag"":""long"",""iv"":0.5,""delta"":0.8981601354462039,""gamma"":0.002124797267961719,""vega_1pct"":0.29771703684982925,""theta_day"":-44.31924367286482,""greeks_conf"":""low""}]",125,UP,89.55,11387.5,91.1,0,,89.55,BEARISH,True,0.6875,91.1,adx=20.0 | ivp=0.50 | dte=0 | spr=0.035 | fallback single-leg,False,,LIVE signal,TREND,0.8899931202181903,CE,0,0.7964104199472344,0.8195,MID,LONG,0.7964104199472344,45.55,NSE:APOLLOHOSP,0.03461753210496923,BUY_CE,7600,163.98,-44.31924367286482,90,APOLLOHOSP26FEB7600CE,None,APOLLOHOSP,0.29771703684982925
BUY_CE,hard,20.84,20.48,NONE,0.0,,0.9549332784467988,0,,20.84,ask,2026-02-24,low,0,True,UP,True,2.8231815877075195,1.0,2,NFO:ASHOKLEY26FEB190CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":190,""tradingsymbol"":""ASHOKLEY26FEB190CE"",""instrument_token"":9237506,""bid"":20.48,""ask"":20.84,""mid"":20.66,""ltp"":20.66,""oi"":1335000.0,""volume"":50000.0,""spread_pct"":0.017424975798644698,""price_used"":20.84,""tag"":""long"",""iv"":2.8231815877075195,""delta"":0.9549332784467988,""gamma"":0.0073535070271911,""vega_1pct"":0.0043380849527533145,""theta_day"":-3.584161760125352,""greeks_conf"":""low""}]",5000,UP,20.66,104200.0,20.84,0,,20.66,BEARISH,True,0.6875,20.84,adx=20.7 | ivp=1.00 | dte=0 | spr=0.017 | fallback single-leg,False,,LIVE signal,VOLATILE,1.0,CE,0,0.7394560737775584,0.8195,MID,LONG,0.7394560737775584,10.42,NSE:ASHOKLEY,0.017424975798644698,BUY_CE,190,37.512,-3.584161760125352,90,ASHOKLEY26FEB190CE,None,ASHOKLEY,0.0043380849527533145
BUY_CE,hard,148.25,144.4,NONE,0.0,,1.0,0,,148.25,ask,2026-02-24,low,0,True,UP,False,0.5,1.0,2,NFO:ASTRAL26FEB1500CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":1500,""tradingsymbol"":""ASTRAL26FEB1500CE"",""instrument_token"":17910274,""bid"":144.4,""ask"":148.25,""mid"":146.325,""ltp"":146.325,""oi"":67150.0,""volume"":9775.0,""spread_pct"":0.026311293353835603,""price_used"":148.25,""tag"":""long"",""iv"":0.5,""delta"":1.0,""gamma"":5.04893287476004e-19,""vega_1pct"":3.2413710936981414e-18,""theta_day"":-0.2465683609574182,""greeks_conf"":""low""}]",425,UP,146.325,63006.25,148.25,0,,146.325,BEARISH,True,0.6875,148.25,adx=18.0 | ivp=1.00 | dte=0 | spr=0.026 | fallback single-leg,False,,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,VOLATILE,1.0,CE,0,0.5685933722419074,0.8195,MID,LONG,0.5685933722419074,74.125,NSE:ASTRAL,0.026311293353835603,BUY_CE,1500,266.85,-0.2465683609574182,90,ASTRAL26FEB1500CE,None,ASTRAL,3.2413710936981414e-18
BUY_PE,hard,22.0,21.15,NONE,0.0,,-0.8337695715910958,0,,22.0,ask,2026-02-24,high,0,True,DOWN,False,0.9410866272125245,1.0,2,NFO:AUBANK26FEB1000PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1000,""tradingsymbol"":""AUBANK26FEB1000PE"",""instrument_token"":19355906,""bid"":21.15,""ask"":22.0,""mid"":21.575,""ltp"":21.575,""oi"":243000.0,""volume"":46000.0,""spread_pct"":0.039397450753186625,""price_used"":22.0,""tag"":""long"",""iv"":0.9410866272125245,""delta"":-0.8337695715910958,""gamma"":0.012448474826632491,""vega_1pct"":0.05310635793163922,""theta_day"":-14.371119263560052,""greeks_conf"":""high""}]",1000,DOWN,21.575,22000.0,22.0,0,,21.575,BEARISH,True,0.6875,22.0,adx=22.2 | ivp=1.00 | dte=0 | spr=0.039 | fallback single-leg,False,,Trigger SHORT when RSI closes <= 48 AND price closes below EMA_fast.,VOLATILE,1.0,PE,0,-0.9949721860562817,1.136625,MID,SHORT,0.9949721860562817,11.0,NSE:AUBANK,0.039397450753186625,BUY_PE,1000,39.6,-14.371119263560052,90,AUBANK26FEB1000PE,None,AUBANK,0.05310635793163922
BUY_PE,hard,17.9,17.2,NONE,0.0,,-0.9749629594507895,0,,17.9,ask,2026-02-24,high,0,True,DOWN,False,0.34973237536621093,1.0,2,NFO:AUROPHARMA26FEB1180PE,"[{""side"":""BUY"",""right"":""PE"",""strike"":1180,""tradingsymbol"":""AUROPHARMA26FEB1180PE"",""instrument_token"":18218498,""bid"":17.2,""ask"":17.9,""mid"":17.549999999999997,""ltp"":17.549999999999997,""oi"":128700.0,""volume"":640200.0,""spread_pct"":0.03988603988603985,""price_used"":17.9,""tag"":""long"",""iv"":0.34973237536621093,""delta"":-0.9749629594507895,""gamma"":0.0066262815669419425,""vega_1pct"":0.014776382427875061,""theta_day"":-1.311195265121683,""greeks_conf"":""high""}]",550,DOWN,17.549999999999997,9845.0,17.9,0,,17.549999999999997,BEARISH,True,0.6875,17.9,adx=18.7 | ivp=1.00 | dte=0 | spr=0.040 | fallback single-leg,False,,Trigger SHORT when RSI closes <= 48 AND price closes below EMA_fast.,VOLATILE,1.0,PE,0,-0.9386395416330272,1.136625,MID,SHORT,0.9386395416330272,8.95,NSE:AUROPHARMA,0.03988603988603985,BUY_PE,1180,32.22,-1.311195265121683,90,AUROPHARMA26FEB1180PE,None,AUROPHARMA,0.014776382427875061
BUY_CE,hard,19.3,18.8,NONE,0.0,,0.9415003411955147,0,,19.3,ask,2026-02-24,low,0,True,UP,False,0.5,1.0,2,NFO:AXISBANK26FEB1370CE,"[{""side"":""BUY"",""right"":""CE"",""strike"":1370,""tradingsymbol"":""AXISBANK26FEB1370CE"",""instrument_token"":18434818,""bid"":18.8,""ask"":19.3,""mid"":19.05,""ltp"":19.05,""oi"":1510000.0,""volume"":264375.0,""spread_pct"":0.026246719160104987,""price_used"":19.3,""tag"":""long"",""iv"":0.5,""delta"":0.9415003411955147,""gamma"":0.007717141940855118,""vega_1pct"":0.035344035002762564,""theta_day"":-5.343011495970557,""greeks_conf"":""low""}]",625,UP,19.05,12062.5,19.3,0,,19.05,BEARISH,True,0.6875,19.3,adx=15.6 | ivp=1.00 | dte=0 | spr=0.026 | fallback single-leg,False,,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,VOLATILE,1.0,CE,0,0.5451076517528295,0.8195,MID,LONG,0.5451076517528295,9.65,NSE:AXISBANK,0.026246719160104987,BUY_CE,1370,34.74,-5.343011495970557,90,AXISBANK26FEB1370CE,None,AXISBANK,0.035344035002762564
