underlying,ts_signal,spot_symbol,expiry,dte,regime,side,is_live,right,tradingsymbol,kite_symbol,strike,score,entry,sl,target,time_stop_min,spread_pct,bid,ask,mid,ltp,quote_ts,entry_model,iv,iv_pct,iv_samples,greeks_conf,delta,vega_1pct,theta_day,lot_size,greeks_max_lots,risk_lots,max_lots,pass_caps,sent_mult,mkt_bias,mkt_strength,mkt_risk_off,notes,reason,bos,bos_strength,htf_align,session
APLAPOLLO,2026-02-16 15:15:00+05:30,NSE:APLAPOLLO,2026-02-24,8,CHOP,SHORT,True,PE,APLAPOLLO26FEB2220PE,NFO:APLAPOLLO26FEB2220PE,2220,-1.6752815008349264,30.7,25.638271656282512,38.292592515576004,90,0.028075970272501995,29.85,30.7,30.275,30.275,2026-02-16 16:22:37,ask,0.23297405216026307,0.4,5,high,-0.49156018323477835,1.3058273168617571,-1.7275168780275068,350,0,0,0,False,1.0,,,,adx=30.2 | ivp=0.40 | dte=8 | spr=0.028,LIVE signal,NONE,0.0,True,CLOSE
APOLLOHOSP,2026-02-16 15:15:00+05:30,NSE:APOLLOHOSP,2026-02-24,8,CHOP,LONG,False,CE,APOLLOHOSP26FEB7650CE,NFO:APOLLOHOSP26FEB7650CE,7650,1.2081006499434415,72.0,60.71750392826434,88.92374410760348,90,0.033180374161666,69.65,72.0,70.825,70.825,2026-02-16 16:22:39,ask,0.18104053555417066,0.2,5,high,0.4623484465477577,4.4672422068043325,-5.649355654970734,125,0,0,0,False,1.0,,,,adx=17.1 | ivp=0.20 | dte=8 | spr=0.033,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,NONE,0.0,True,CLOSE
ASHOKLEY,2026-02-16 15:15:00+05:30,NSE:ASHOKLEY,2026-02-24,8,CHOP,SHORT,False,PE,ASHOKLEY26FEB212.5PE,NFO:ASHOKLEY26FEB212.5PE,212,-1.2296179709618476,8.6,7.990272591652959,9.514591112520552,90,0.0152314001171645,8.47,8.6,8.535,8.535,2026-02-16 16:22:39,ask,0.4126462574367523,0.2,5,high,-0.666566669743005,0.11052868786037527,-0.2626389510145605,5000,0,0,0,False,1.0,,,,adx=18.1 | ivp=0.20 | dte=8 | spr=0.015,Trigger SHORT when RSI closes <= 48 AND price closes below EMA_fast.,NONE,0.0,True,CLOSE
ASIANPAINT,2026-02-16 15:15:00+05:30,NSE:ASIANPAINT,2026-02-24,8,CHOP,LONG,True,CE,ASIANPAINT26FEB2400CE,NFO:ASIANPAINT26FEB2400CE,2400,1.7006757438968674,33.3,29.245714300904247,39.38142854864373,90,0.010566037735848886,32.95,33.3,33.125,33.125,2026-02-16 16:22:44,ask,0.23342466318464278,0.4,5,high,0.5085021258225484,1.4117028275939296,-2.265610494115905,250,0,0,0,False,1.0,,,,adx=31.5 | ivp=0.40 | dte=8 | spr=0.011,LIVE signal,NONE,0.0,True,CLOSE
ASTRAL,2026-02-16 15:15:00+05:30,NSE:ASTRAL,2026-02-24,8,TREND,LONG,True,CE,ASTRAL26FEB1640CE,NFO:ASTRAL26FEB1640CE,1640,2.0305005453245757,16.2,11.893100858144109,22.660348712783893,90,0.02499999999999991,15.8,16.2,16.0,16.0,2026-02-16 16:22:45,ask,0.155476108522892,0.2,5,high,0.5251741109497498,0.9639673874738353,-1.080712240598002,425,0,0,0,False,1.0,,,,adx=40.6 | ivp=0.20 | dte=8 | spr=0.025,LIVE signal,NONE,0.0,True,CLOSE
AUBANK,2026-02-16 15:15:00+05:30,NSE:AUBANK,2026-02-24,8,CHOP,LONG,True,CE,AUBANK26FEB1010CE,NFO:AUBANK26FEB1010CE,1010,1.4813189838098466,16.3,14.526033298935573,18.960950051596644,90,0.0061538461538462414,16.2,16.3,16.25,16.25,2026-02-16 16:22:41,ask,0.2620897232170105,0.4,5,high,0.5211935483348995,0.5940798457779394,-1.062265510671697,1000,0,0,0,False,1.0,,,,adx=20.3 | ivp=0.40 | dte=8 | spr=0.006,LIVE signal,NONE,0.0,True,CLOSE
AUROPHARMA,2026-02-16 15:15:00+05:30,NSE:AUROPHARMA,2026-02-24,8,CHOP,LONG,True,CE,AUROPHARMA26FEB1190CE,NFO:AUROPHARMA26FEB1190CE,1190,2.1781760947585624,21.65,18.78820262259263,25.942696066111104,90,0.023364485981308414,21.15,21.65,21.4,21.4,2026-02-16 16:22:41,ask,0.3330120837578774,0.2,5,high,0.4835224487285891,0.697168103601026,-1.5495257757672787,550,0,0,0,False,1.0,,,,adx=47.6 | ivp=0.20 | dte=8 | spr=0.023,LIVE signal,NONE,0.0,True,CLOSE
AXISBANK,2026-02-16 15:15:00+05:30,NSE:AXISBANK,2026-02-24,8,CHOP,LONG,True,CE,AXISBANK26FEB1360CE,NFO:AXISBANK26FEB1360CE,1360,1.9240520481120174,14.6,12.54041815650169,17.68937276524735,90,0.0068728522336769515,14.5,14.6,14.55,14.55,2026-02-16 16:22:45,ask,0.18138266614675524,0.4,5,high,0.5061938771270754,0.7999804462647785,-1.022433970332728,625,0,0,0,False,1.0,,,,adx=42.9 | ivp=0.40 | dte=8 | spr=0.007,LIVE signal,NONE,0.0,True,CLOSE
BAJAJ-AUTO,2026-02-16 15:15:00+05:30,NSE:BAJAJ-AUTO,2026-02-24,8,CHOP,SHORT,True,PE,BAJAJ-AUTO26FEB9700PE,NFO:BAJAJ-AUTO26FEB9700PE,9700,-1.6701594077441106,135.8,120.8041940125167,158.293708981225,90,0.02346805736636249,132.65,135.8,134.22500000000002,134.22500000000002,2026-02-16 16:22:43,ask,0.2439317678642273,0.4,5,high,-0.4811897388277163,5.705743969286766,-7.9568108178274075,75,0,0,0,False,1.0,,,,adx=29.9 | ivp=0.40 | dte=8 | spr=0.023,LIVE signal,NONE,0.0,True,CLOSE
BAJAJFINSV,2026-02-16 15:15:00+05:30,NSE:BAJAJFINSV,2026-02-24,8,CHOP,LONG,True,CE,BAJAJFINSV26FEB2060CE,NFO:BAJAJFINSV26FEB2060CE,2060,1.5814859339153977,20.5,17.787798374816422,24.56830243777537,90,0.009803921568627416,20.3,20.5,20.4,20.4,2026-02-16 16:22:43,ask,0.1939413622891903,0.4,5,high,0.4623101590219769,1.202640316533316,-1.6181666646655741,250,0,1,0,False,1.0,,,,adx=25.4 | ivp=0.40 | dte=8 | spr=0.010,LIVE signal,BOS_UP,0.3197389885807738,True,CLOSE
BAJAJHLDNG,2026-02-16 15:15:00+05:30,NSE:BAJAJHLDNG,2026-02-24,8,CHOP,LONG,True,CE,BAJAJHLDNG26FEB11000CE,NFO:BAJAJHLDNG26FEB11000CE,11000,1.8567837568054464,250.0,219.1282589213215,296.30761161801775,90,0.0504408447816281,237.7,250.0,243.85,243.85,2026-02-16 16:22:44,ask,0.24477547144228223,0.4,5,high,0.6505513854478153,6.084950931414174,-10.5099779971461,50,0,0,0,False,1.0,,,,adx=39.4 | ivp=0.40 | dte=8 | spr=0.050,LIVE signal,NONE,0.0,True,CLOSE
BAJFINANCE,2026-02-16 15:15:00+05:30,NSE:BAJFINANCE,2026-02-24,8,CHOP,LONG,False,CE,BAJFINANCE26FEB1000CE,NFO:BAJFINANCE26FEB1000CE,1000,1.2428454708845358,24.0,21.255403540573248,28.116894689140096,90,0.010471204188481676,23.75,24.0,23.875,23.875,2026-02-16 16:22:46,ask,0.267840378194809,0.4,5,high,0.6455079389910949,0.5564028778580288,-1.0400093219085031,750,0,0,0,False,1.0,,,,adx=23.4 | ivp=0.40 | dte=8 | spr=0.010,Trigger LONG when RSI closes >= 52 AND price closes above EMA_fast.,NONE,0.0,True,CLOSE
BANDHANBNK,2026-02-16 15:15:00+05:30,NSE:BANDHANBNK,2026-02-24,8,VOLATILE,LONG,False,CE,BANDHANBNK26FEB160CE,NFO:BANDHANBNK26FEB160CE,160,1.017476360791582,9.13,8.559773386972422,9.98533991954138,90,0.014340871483728711,9.0,9.13,9.065000000000001,9.065000000000001,2026-02-16 16:22:47,ask,0.37666413267517096,0.8,5,high,0.821512404061598,0.0647159558954814,-0.17436517514958805,3600,0,0,0,False,1.0,,,,adx=16.4 | ivp=0.80 | dte=8 | spr=0.014,Trend UP but ADX<18. Trigger LONG when ADX>=18 AND RSI>=52.,NONE,0.0,True,CLOSE
BANKBARODA,2026-02-16 15:15:00+05:30,NSE:BANKBARODA,2026-02-24,8,CHOP,LONG,True,CE,BANKBARODA26FEB287.5CE,NFO:BANKBARODA26FEB287.5CE,288,1.7333856775487737,8.7,7.954805828882048,9.817791256676944,90,0.011560693641618458,8.6,8.7,8.649999999999999,8.649999999999999,2026-02-16 16:22:45,ask,0.3430185095214844,0.6,5,high,0.6408213859044529,0.1614688589833547,-0.3774414241328407,2925,0,0,0,False,1.0,,,,adx=33.1 | ivp=0.60 | dte=8 | spr=0.012,LIVE signal,BOS_UP,0.23045267489710775,True,CLOSE
