ts_reco,tradingsymbol,side,entry,sl,target
2026-02-16T16:31:35,AUROPHARMA26FEB1190CE,LONG,21.65,18.78820262259263,25.942696066111104
2026-02-16T16:31:35,ASTRAL26FEB1640CE,LONG,16.2,11.893100858144109,22.660348712783893
2026-02-16T16:31:35,AXISBANK26FEB1360CE,LONG,14.6,12.54041815650169,17.68937276524735
2026-02-16T16:31:35,ANGELONE26FEB2550PE,SHORT,57.85,47.73564449560366,73.02153325659451
2026-02-16T16:31:35,BAJAJHLDNG26FEB11000CE,LONG,250.0,219.1282589213215,296.30761161801775
2026-02-16T16:31:35,ADANIENT26FEB2200CE,LONG,42.7,37.456528225024876,50.56520766246269
2026-02-16T16:31:35,ADANIENSOL26FEB1000CE,LONG,24.25,21.375764935256733,28.561352597114933
2026-02-16T16:31:35,ADANIGREEN26FEB1000CE,LONG,21.95,18.375176275325657,27.31223558701154
2026-02-16T16:31:35,BANKBARODA26FEB287.5CE,LONG,8.7,7.954805828882048,9.817791256676944
2026-02-16T16:31:35,ADANIPORTS26FEB1540CE,LONG,28.05,24.572203551034647,33.26669467344797
