ts_reco,tradingsymbol,side,entry,sl,target
2026-02-19T12:30:50,DIXON26FEB11300PE,SHORT,235.05,47.55000000000001,179.02
2026-02-19T12:30:50,SHREECEM26FEB28000CE,LONG,35.2,17.6,63.36000000000001
2026-02-19T12:30:50,BAJAJHLDNG26FEB12000CE,LONG,11.7,5.85,21.06
