Datetime,open,high,low,close,volume
2025-10-20 09:15:00+05:30,398.3,399.3,396.65,397.15,620650
2025-10-20 10:15:00+05:30,397.3,400.55,397.05,399.45,858936
2025-10-20 11:15:00+05:30,399.4,400.5,399.05,400.0,490587
2025-10-20 12:15:00+05:30,400.0,400.3,399.0,399.3,332112
2025-10-20 13:15:00+05:30,399.25,400.2,399.25,400.0,513161
2025-10-20 14:15:00+05:30,400.05,401.0,399.4,399.5,1024458
2025-10-20 15:15:00+05:30,399.55,400.0,399.35,399.8,266889
2025-10-21 13:45:00+05:30,400.0,401.2,397.55,398.0,689995
2025-10-23 09:15:00+05:30,398.85,401.5,398.15,401.45,1049387
2025-10-23 10:15:00+05:30,401.45,403.85,400.85,402.3,1125602
2025-10-23 11:15:00+05:30,402.2,402.65,401.15,402.0,807776
2025-10-23 12:15:00+05:30,402.05,402.25,400.3,400.6,741967
2025-10-23 13:15:00+05:30,400.6,401.2,399.05,399.25,531885
2025-10-23 14:15:00+05:30,399.1,399.75,397.15,397.4,633631
2025-10-23 15:15:00+05:30,397.4,397.65,396.15,396.7,305721
2025-10-24 09:15:00+05:30,397.65,398.85,394.0,397.8,767454
2025-10-24 10:15:00+05:30,397.6,397.7,396.15,397.25,258343
2025-10-24 11:15:00+05:30,397.25,398.55,397.0,398.15,251303
2025-10-24 12:15:00+05:30,398.15,399.2,396.15,398.65,1589160
2025-10-24 13:15:00+05:30,398.55,398.85,396.0,396.6,945907
2025-10-24 14:15:00+05:30,396.55,397.0,395.35,396.55,722209
2025-10-24 15:15:00+05:30,396.55,397.85,396.5,397.3,484381
2025-10-27 09:15:00+05:30,396.9,401.4,395.65,400.1,764299
2025-10-27 10:15:00+05:30,400.0,401.75,398.95,401.1,626738
2025-10-27 11:15:00+05:30,401.0,401.3,400.05,400.9,416676
2025-10-27 12:15:00+05:30,400.8,401.05,400.6,400.65,179188
2025-10-27 13:15:00+05:30,400.85,400.95,400.0,400.55,201238
2025-10-27 14:15:00+05:30,400.35,400.7,399.75,400.3,355390
2025-10-27 15:15:00+05:30,400.35,400.45,400.05,400.25,241298
2025-10-28 09:15:00+05:30,400.25,401.85,398.7,400.85,838252
2025-10-28 10:15:00+05:30,400.9,401.1,398.15,398.55,390735
2025-10-28 11:15:00+05:30,398.5,400.5,398.5,399.95,375160
2025-10-28 12:15:00+05:30,399.9,400.0,398.8,399.2,705512
2025-10-28 13:15:00+05:30,399.2,399.35,397.2,397.7,394023
2025-10-28 14:15:00+05:30,397.7,399.0,396.1,398.9,900770
2025-10-28 15:15:00+05:30,398.85,399.7,398.3,399.25,333914
2025-10-29 09:15:00+05:30,399.0,408.8,398.7,408.4,3151095
2025-10-29 10:15:00+05:30,408.3,411.5,408.3,409.9,2779735
2025-10-29 11:15:00+05:30,410.0,410.4,409.1,409.5,736725
2025-10-29 12:15:00+05:30,409.45,412.4,409.45,411.85,1302040
2025-10-29 13:15:00+05:30,411.9,412.0,410.15,411.1,764954
2025-10-29 14:15:00+05:30,411.1,411.15,409.35,409.8,1072899
2025-10-29 15:15:00+05:30,409.8,412.0,409.55,411.0,1112886
2025-10-30 09:15:00+05:30,411.05,413.25,409.35,411.35,1524226
2025-10-30 10:15:00+05:30,411.5,411.8,408.6,409.7,503264
2025-10-30 11:15:00+05:30,409.6,411.6,409.5,410.3,438015
2025-10-30 12:15:00+05:30,410.3,410.6,409.0,409.4,256685
2025-10-30 13:15:00+05:30,409.4,409.8,408.6,409.2,263316
2025-10-30 14:15:00+05:30,409.35,410.1,408.3,410.1,476245
2025-10-30 15:15:00+05:30,410.1,410.4,409.7,409.95,267682
2025-10-31 09:15:00+05:30,409.6,409.9,406.0,406.75,829303
2025-10-31 10:15:00+05:30,406.7,407.5,405.5,407.0,628178
2025-10-31 11:15:00+05:30,406.95,408.65,406.15,407.05,767410
2025-10-31 12:15:00+05:30,407.05,408.1,406.25,407.1,761867
2025-10-31 13:15:00+05:30,407.1,407.2,405.85,406.55,381174
2025-10-31 14:15:00+05:30,406.6,407.35,404.5,404.65,1133028
2025-10-31 15:15:00+05:30,404.65,405.2,404.5,404.75,556490
2025-11-03 09:15:00+05:30,403.85,406.6,401.25,405.9,913996
2025-11-03 10:15:00+05:30,406.05,406.9,405.1,405.65,413019
2025-11-03 11:15:00+05:30,405.7,407.55,405.4,406.85,587579
2025-11-03 12:15:00+05:30,406.8,407.7,406.8,407.3,504374
2025-11-03 13:15:00+05:30,407.3,408.6,406.9,407.9,471699
2025-11-03 14:15:00+05:30,407.9,409.5,407.65,408.5,963870
2025-11-03 15:15:00+05:30,408.5,409.0,408.1,408.75,286261
2025-11-04 09:15:00+05:30,407.5,408.0,400.65,400.75,1429512
2025-11-04 10:15:00+05:30,400.7,401.1,399.1,400.3,918305
2025-11-04 11:15:00+05:30,400.35,400.9,398.55,400.35,709822
2025-11-04 12:15:00+05:30,400.4,400.8,399.45,400.65,470004
2025-11-04 13:15:00+05:30,400.65,400.75,399.65,399.9,787455
2025-11-04 14:15:00+05:30,399.9,401.2,399.35,400.65,1250774
2025-11-04 15:15:00+05:30,400.65,401.35,400.4,400.55,543108
2025-11-06 09:15:00+05:30,400.7,402.3,395.6,395.6,1044690
2025-11-06 10:15:00+05:30,395.8,395.85,394.5,395.25,624818
2025-11-06 11:15:00+05:30,395.2,396.4,393.5,395.25,1031589
2025-11-06 12:15:00+05:30,395.3,396.45,394.8,395.4,341740
2025-11-06 13:15:00+05:30,395.4,395.9,392.2,392.4,586454
2025-11-06 14:15:00+05:30,392.4,393.0,391.25,391.75,740715
2025-11-06 15:15:00+05:30,391.8,392.25,390.25,390.8,626514
2025-11-07 09:15:00+05:30,390.95,390.95,386.0,387.3,1245048
2025-11-07 10:15:00+05:30,387.3,389.25,386.6,389.15,734294
2025-11-07 11:15:00+05:30,389.15,391.2,389.0,390.6,628961
2025-11-07 12:15:00+05:30,390.6,392.75,390.6,392.45,434203
2025-11-07 13:15:00+05:30,392.35,393.8,391.8,392.05,596303
2025-11-07 14:15:00+05:30,392.0,394.0,392.0,392.6,673946
2025-11-07 15:15:00+05:30,392.6,394.4,392.6,393.25,344015
2025-11-10 09:15:00+05:30,393.2,395.9,392.35,393.55,637447
2025-11-10 10:15:00+05:30,393.55,395.25,393.35,394.65,410641
2025-11-10 11:15:00+05:30,394.8,396.5,393.6,396.2,350321
2025-11-10 12:15:00+05:30,396.2,397.0,395.75,396.3,313038
